name_entity,label
Gold Cobra,0
Nielles-lès-Bléquin,0
Spaulding Turnpike(Portsmouth–Milton),0
White Mountain Highway (Milton–Gorham),0
Karel Matěj Čapek-Chod,1
Neuvireuil,0
Neuville-Saint-Vaast,0
Cadier en Keer,0
Neuville-sous-Montreuil,0
Jaguar XK140,0
Basseux,0
Jinggangshan Airport,0
Jǐnggāngshān Jīchǎng,0
Bemelen,0
Ningbo Rail Transit,0
Changde Taohuayuan Airport,0
Chángdé Táohuāyuán Jīchǎng,0
The Money-Maker Recipe,0
師奶股神,0
Kraslice,0
Banholt,0
"Orange City, Iowa",0
Lanškroun (1),0
Groéselt,0
Gronsveld,0
Kuřim,0
Joseph C. O'Mahoney,1
Sušice,0
Tadeusz Borowski,1
Humpolec,0
Valentyn Symonenko,1
(Валентин Симоненко),1
"Neosho, Missouri",0
Lovosice,0
Mesch,0
Custom Coasters International,0
Moravská Třebová,0
"Hampton, Minnesota",0
Frank P. Coburn,1
Nový Bor,0
Central Funicular,0
Lions,0
Rychnov nad Kněžnou,0
You're Dead,0
Lázně Kynžvart,0
Dutch Wikipedia,0
"Red Oaks Mill, New York",0
"Chatham, New York",0
Faversham,0
Coonabarabran,0
Gansu Uyghur Kingdom,0
Cyperus tegetiformis,0
The Bohemian,0
Finspång,0
Polybahn,0
Courboin,0
Burra,0
Flize,0
Gaocheng,0
"Town of Speedway, Indiana",0
Ébouleau,0
Cantenac,0
Hassi Messaoud,0
Brembilla,0
Comune di Brembila,0
Sa Pa,0
Sa Pa Township,0
Thị trấn Sa Pa,0
Esquéhéries,0
Güigüe,0
Lwowiec,0
Nędza,0
Tworóg,0
"Eaton, Ohio",0
La Ville-aux-Bois-lès-Pontavert,0
La Ferté-Chevresis,0
Brignano Gera d'Adda,0
Comune di  Brignano Gera d'Adda,0
Cheveuges,0
"Castalia, Iowa",0
"South Portland, Maine",0
Mozart!,0
Little Murray River,0
Brumano,0
Comune di Brumano,0
"Pulaski, Iowa",0
Tinko,0
"Fort Atkinson, Iowa",0
"Clarence, Iowa",0
Asinikaaning,0
"Sandstone, Minnesota",0
Cornay,0
"Hancock, Iowa",0
Brusaporto,0
Comune di Brusaporto,0
"Cambridge, Minnesota",0
"Cambridge, Iowa",0
Deventer,0
"Halstad, Minnesota",0
Robert Mallet-Stevens,1
"Eyota, Minnesota",0
Hambuger University,0
"Dougherty, Iowa",0
Mechelen (Mechele),0
Frières-Faillouël,0
"Madelia, Minnesota",0
"Eveleth, Minnesota",0
"Port Huron, Michigan",0
Giraumont,0
"Somersworth, New Hampshire",0
Sint Geertruid,0
"Falcon Heights, Minnesota",0
Haigneville,0
"Rock Falls, Iowa",0
Giriviller,0
Archidioecesis Victoriensis Spiritus Sancti,0
Vitória,0
"New Philadelphia, Ohio",0
Novion-Porcien,0
"Kalona, Iowa",0
Haudonville,0
Djigoue,0
Halloville,0
Diguel,0
Logobou,0
Cynodictis,0
Crimson-breasted shrike,0
Bekuy,0
Honeycomb grouper,0
N'dorola,0
Whitespotted grouper,0
Guiaro,0
Djigouera,0
Rijckholt,0
Gbomblora,0
Baffie,0
Laye,0
Kirsi,0
Koloko,0
Legmoin,0
Fred,1
Helbert Frederico Carreiro da Silva,1
Guiba,0
Enschede,0
Land Rover Series,0
Dapelogo,0
Tansarga,0
Samorogouan,0
Alfred Ter-Mkrtychyan,1
Sandgate,0
Springhill,0
Aulhat-Saint-Privat,0
Bromont-Lamothe,0
"Yengema, Sierra Leone",0
Oost-Maarland,0
Champagnat-le-Jeune,0
Huancavelica,0
Tandil,0
Noorbeek,0
Norbik,0
Chambon-sur-Dolore,0
Ilo,0
Dollie de Luxe,0
Chidrac,0
Moquegua,0
Mheer,0
Espinchal,0
Kitakawabe,0
北川辺,0
Reckless,0
กระบี่,0
Krabi,0
Archidioecesis Tellicherriensis,0
Tellicherry,0
Foug,0
Międzybórz,0
Bucky Pizzarelli,1
Buco-Zau,0
Collanges,0
Bastiglia,0
Comune di Bastiglia,0
Pinales,0
Мандалговь,0
Сайнцагаан сум,0
Beurières,0
Margraten,0
Mergraote,0
Bomporto,0
Comune di Bomporto,0
Эрдэнэдалай сум,0
This Modern Age,0
Bongheat,0
Campogalliano,0
Comune di Campogalliano,0
Haaksbergen,0
Gyula Ferdinandy,1
Pryluky,0
Прилуки,0
Camposanto,0
Comune di Camposanto,0
Pawłokoma,0
Carpi,0
Città di Carpi,0
Dudyńce,0
Li Fei,1
黎斐,1
Buczek,0
MySQL AB,0
Pielnia,0
Blasteroids,0
Bud! The Amazing Bud Powell (Vol. 3),0
Peter Henry Sweeney,1
Peter Sweeney,1
Szczawnica,0
Bud Cullen,1
Castelfranco Emilia,0
Comune di Castelfranco Emilia,0
Novi Kozjak,0
Нови Козјак,0
Pokrovsk,0
Покровськ,0
Tōkai-ji,0
Castelnuovo Rangone,0
Comune di Castelnuovo Rangone,0
Shostka,0
Шостка,0
Bud,0
Bud herad,0
"Type 88 Surface-to-Ship Missile, SSM-1",0
Castelvetro di Modena,0
Comune di Castelvetro di Modena,0
Kamin-Kashyrskyi,0
Hostinné,0
Cavezzo,0
Comune di Cavezzo,0
"Harry Conway \""Bud\"" Fisher",1
Sázava,0
Boston Children's Hospital,0
Kačarevo,0
Качарево,0
Ferencvárosi TC,0
Raebareli,0
रायबरेली,0
Comune di Concordia sulla Secchia,0
Concordia sulla Secchia,0
Bud Collins,0
Rewa,0
Rewa india,0
Bud Greenspan,0
Comune di Fanano,0
Fanano,0
Bud Olson,1
Bud Lee,0
Comune di Finale Emilia,0
Finale Emilia,0
Power of Humanity,0
Tonk,0
Yakujin Station,0
Comune di Fiorano Modenese,0
Fiorano Modenese,0
Comune di Fiumalbo,0
Fiumalbo,0
Sogo Hong Kong,0
崇光香港百貨,0
Bud Scott,1
Hollum,0
János Ferenczi,1
We'll Never Fight Alone,0
Yggdra Union:,0
Bud Thackery,0
Hegebeintum,0
Comune di Formigine,0
Formigine,0
Schützeberg,0
Morra,0
Happy Journey,0
Comune di Frassinoro,0
Frassinoro,0
Ashikagashi Station,0
Comune di Guiglia,0
Guiglia,0
Oostrum,0
Chiharu Matsuyama,1
Comune di Lama Mocogno,0
Lama Mocogno,0
Tyson Fury,1
Tyson Luke Fury,1
Cupa României,0
Burton upon Trent,0
Hellendoorn,0
Godai Tomoatsu,0
五代友厚,0
Gobabis,0
Comune di Maranello,0
Maranello,0
Sexbierum,0
Comune di Marano sul Panaro,0
Marano sul Panaro,0
Hiroshi Yanaka,0
Attila Feri,1
Torshälla,0
Ragnhild Haga,1
City of Summit,0
"Summit, New Jersey",0
Comune di Medolla,0
Medolla,0
Csaba Ferkó,1
Flugwerft Schleissheim,0
Felixstowe,0
Comune di Mirandola,0
Mirandola,0
Stamford,0
Budapest String Quartet,0
Holly Anne Syrjala Brooks,1
Holly Brooks,1
Witmarsum,0
Varzina,0
Chadeleuf,0
Wokingham,0
Fernando Carrillo,0
Nes,0
Vilt,0
Wierum,0
Comune di Montecreto,0
Montecreto,0
Hengelo,0
Lasowice Wielkie / Groß Lassowitz,0
Reither Spitze,0
